State,District,Year,Area (Hectare),Production (Tonnes),Yield (Kg/Ha),Crop,Season,ndvi_mean,ndvi_max,ndvi_std,ndvi_reading_count
1. Karnataka,BIJAPUR,2010,189677.0,107215.0,0.57,Arhar,Kharif,,,,
1. Karnataka,BIJAPUR,2011,102093.0,38601.0,0.38,Arhar,Kharif,,,,
1. Karnataka,BIJAPUR,2012,86199.0,50689.0,0.59,Arhar,Kharif,,,,
1. Karnataka,BIJAPUR,2013,180625.0,170564.0,0.94,Arhar,Kharif,,,,
1. Karnataka,BIJAPUR,2014,187324.0,114783.0,0.61,Arhar,Kharif,,,,
1. Karnataka,BIJAPUR,2015,135696.0,39576.0,0.29,Arhar,Kharif,,,,
1. Karnataka,BIJAPUR,2016,388932.0,330320.0,0.85,Arhar,Kharif,,,,
1. Karnataka,BIJAPUR,2017,262563.0,159638.0,0.61,Arhar,Kharif,,,,
1. Karnataka,BIJAPUR,2018,520937.0,167273.0,0.32,Arhar,Kharif,,,,
1. Karnataka,BIJAPUR,2019,497180.0,218685.0,0.44,Arhar,Kharif,0.7017,0.7017,,1.0
1. Karnataka,BIJAPUR,2020,514353.0,222715.0,0.43,Arhar,Kharif,0.5429666666666667,0.7978,0.17721492788889615,6.0
1. Karnataka,CHAMARAJANAGAR,2010,1292.0,676.0,0.52,Arhar,Kharif,,,,
1. Karnataka,CHAMARAJANAGAR,2011,1371.0,598.0,0.44,Arhar,Kharif,,,,
1. Karnataka,CHAMARAJANAGAR,2012,917.0,883.0,0.96,Arhar,Kharif,,,,
1. Karnataka,CHAMARAJANAGAR,2013,1124.0,366.0,0.33,Arhar,Kharif,,,,
1. Karnataka,CHAMARAJANAGAR,2014,1054.0,473.0,0.45,Arhar,Kharif,,,,
1. Karnataka,CHAMARAJANAGAR,2015,542.0,141.0,0.26,Arhar,Kharif,,,,
1. Karnataka,CHAMARAJANAGAR,2016,821.0,68.0,0.08,Arhar,Kharif,,,,
1. Karnataka,CHAMARAJANAGAR,2017,786.0,755.0,0.96,Arhar,Kharif,,,,
1. Karnataka,CHAMARAJANAGAR,2018,962.0,442.0,0.46,Arhar,Kharif,,,,
1. Karnataka,CHAMARAJANAGAR,2019,319.0,237.0,0.74,Arhar,Kharif,0.0285,0.0285,,1.0
1. Karnataka,CHAMARAJANAGAR,2020,368.0,191.0,0.52,Arhar,Kharif,0.3071,0.4266,0.11118727445171052,3.0
1. Karnataka,CHIKBALLAPUR,2010,10964.0,9260.0,0.84,Arhar,Kharif,,,,
1. Karnataka,CHIKBALLAPUR,2011,7279.0,4951.0,0.68,Arhar,Kharif,,,,
1. Karnataka,CHIKBALLAPUR,2012,5802.0,2210.0,0.38,Arhar,Kharif,,,,
1. Karnataka,CHIKBALLAPUR,2013,4989.0,4033.0,0.81,Arhar,Kharif,,,,
1. Karnataka,CHIKBALLAPUR,2014,3417.0,1834.0,0.54,Arhar,Kharif,,,,
1. Karnataka,CHIKBALLAPUR,2015,7682.0,3780.0,0.49,Arhar,Kharif,,,,
1. Karnataka,CHIKBALLAPUR,2016,13168.0,4979.0,0.38,Arhar,Kharif,,,,
1. Karnataka,CHIKBALLAPUR,2017,10720.0,11172.0,1.04,Arhar,Kharif,,,,
1. Karnataka,CHIKBALLAPUR,2018,4417.0,1229.0,0.28,Arhar,Kharif,,,,
1. Karnataka,CHIKBALLAPUR,2019,5149.0,3351.0,0.65,Arhar,Kharif,,,,
1. Karnataka,CHIKBALLAPUR,2020,3477.0,2493.0,0.72,Arhar,Kharif,,,,
1. Karnataka,CHIKMAGALUR,2010,737.0,432.0,0.59,Arhar,Kharif,,,,
1. Karnataka,CHIKMAGALUR,2011,595.0,272.0,0.46,Arhar,Kharif,,,,
1. Karnataka,CHIKMAGALUR,2012,496.0,351.0,0.71,Arhar,Kharif,,,,
1. Karnataka,CHIKMAGALUR,2013,469.0,431.0,0.92,Arhar,Kharif,,,,
1. Karnataka,CHIKMAGALUR,2014,545.0,355.0,0.65,Arhar,Kharif,,,,
1. Karnataka,CHIKMAGALUR,2015,754.0,277.0,0.37,Arhar,Kharif,,,,
1. Karnataka,CHIKMAGALUR,2016,782.0,781.0,1.0,Arhar,Kharif,,,,
1. Karnataka,CHIKMAGALUR,2017,509.0,483.0,0.95,Arhar,Kharif,,,,
1. Karnataka,CHIKMAGALUR,2018,332.0,201.0,0.61,Arhar,Kharif,,,,
1. Karnataka,CHIKMAGALUR,2019,224.0,155.0,0.69,Arhar,Kharif,0.187,0.187,,1.0
1. Karnataka,CHIKMAGALUR,2020,267.0,203.0,0.76,Arhar,Kharif,0.2078,0.2078,,1.0
1. Karnataka,CHITRADURGA,2010,15239.0,10887.0,0.71,Arhar,Kharif,,,,
1. Karnataka,CHITRADURGA,2011,8567.0,5233.0,0.61,Arhar,Kharif,,,,
1. Karnataka,CHITRADURGA,2012,6382.0,4165.0,0.65,Arhar,Kharif,,,,
